system:index,cluster,histogram,latitude,longitude,nobs,year,.geo
00000000000000000174,8009,"[[12.0, 2360.4784313725486], [13.0, 2970.4313725490197], [14.0, 2009.0], [15.0, 2631.1254901960783], [16.0, 2546.0156862745102], [17.0, 3982.9098039215687], [18.0, 4402.117647058823]]",-13.29735248967221,24.2530998430754,19,2012,"{""type"":""Polygon"",""coordinates"":[[[24.253099679803718,-13.162368489177126],[24.214379090109016,-13.167737891301405],[24.178735879716424,-13.183419367391677],[24.149003947182173,-13.208166486668954],[24.127549157944703,-13.240011773732453],[24.11608127736466,-13.276422577730775],[24.11551727443985,-13.314501975346516],[24.125907054665646,-13.351218932148177],[24.14642792449689,-13.383649539617652],[24.175448715347628,-13.409210140258232],[24.210658894958897,-13.425863667937955],[24.249252626222265,-13.43228256583082],[24.28815308433931,-13.427955070574326],[24.32425887114945,-13.413226207464616],[24.35469243575374,-13.389270150505467],[24.377030234509206,-13.357996203866234],[24.389495960641764,-13.321896065784665],[24.39110136835641,-13.28384477247492],[24.381723669088835,-13.246871391731844],[24.362113742853847,-13.213917858004022],[24.333834999840718,-13.18760515716901],[24.299138179453113,-13.17002535616258],[24.260782278315432,-13.16257582594198],[24.253099679803718,-13.162368489177126]]]}"
00000000000000000030,1002,"[[12.0, 819.6235294117647], [13.0, 3849.5058823529407], [14.0, 3977.968627450981], [15.0, 3296.282352941176], [16.0, 2833.7607843137257], [17.0, 7126.074509803922], [18.0, 3513.0588235294117]]",-14.63050789833069,28.7003026008606,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.700303851639003,-14.495523767530058],[28.66136074796794,-14.500892863501138],[28.62551220310834,-14.516573516518507],[28.595608093250892,-14.541319552293121],[28.574027902104703,-14.573163833201736],[28.562491597423694,-14.60957402225402],[28.561922054473996,-14.647653388179288],[28.572370175810427,-14.684370906707429],[28.59300910287707,-14.716802494195608],[28.622198521610418,-14.74236418722648],[28.65761442252582,-14.75901857844151],[28.696434248921282,-14.765437841161292],[28.735562652459503,-14.761110097990654],[28.771879546809558,-14.746380451716895],[28.80249018614886,-14.722423321095594],[28.82495681606021,-14.691148345705944],[28.83749307010068,-14.655047544968776],[28.839105533075994,-14.61699616176283],[28.82967140948449,-14.580023291666173],[28.80994656225397,-14.54707070958791],[28.781503824746046,-14.520759104498595],[28.746606964403295,-14.503180201705183],[28.708030582238045,-14.495731092242604],[28.700303851639003,-14.495523767530058]]]}"
00000000000000000031,1004,"[[12.0, 591.0627450980392], [13.0, 1814.2274509803922], [14.0, 3491.2784313725488], [15.0, 4230.415686274509], [16.0, 1166.8], [17.0, 4480.011764705882], [18.0, 2471.6078431372553]]",-15.1346670627594,28.53644256591797,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.53644080612697,-14.999683109935807],[28.497407360790994,-15.00505208918445],[28.46147546011449,-15.020732428397103],[28.43150147390162,-15.045478051064597],[28.40987041442951,-15.077321948339108],[28.39830638352128,-15.11373190289834],[28.39773464069507,-15.151811256707248],[28.40820647805312,-15.18852898938759],[28.42889333397065,-15.220960950536522],[28.458151176423552,-15.246523060093095],[28.493650528429107,-15.263177780581271],[28.532562057843595,-15.269597182414529],[28.571782913747718,-15.26526934471073],[28.60818544088741,-15.250539399808916],[28.63886792636323,-15.226581859800131],[28.66138685223672,-15.195306492164761],[28.673951764659286,-15.159205438789346],[28.67556713872584,-15.121154021340486],[28.666110161111916,-15.084181345972166],[28.64633870344821,-15.051229126750318],[28.617829415469433,-15.024917939438996],[28.582851352010202,-15.00733937909959],[28.544185454920374,-14.999890430053364],[28.53644080612697,-14.999683109935807]]]}"
00000000000000000032,1006,"[[12.0, 582.0], [13.0, 2358.121568627451], [14.0, 3619.0745098039206], [15.0, 793.0], [16.0, 914.4627450980392], [17.0, 3219.9803921568628], [18.0, 2865.2745098039213]]",-14.75390696525574,28.2199800491333,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.21997840436393,-14.618924930083118],[28.181013505521143,-14.624293997534318],[28.145144850331253,-14.639974573877058],[28.115223881274645,-14.664720508714192],[28.09363141586656,-14.696564695887563],[28.08208841960041,-14.7329748276461],[28.081518343596255,-14.771054190612606],[28.09197218510768,-14.807771761467004],[28.11262267527698,-14.840203440253996],[28.1418286033014,-14.86576523505611],[28.177264640444104,-14.882419706723173],[28.216106594806682,-14.888839003432752],[28.255257307182525,-14.884511237164695],[28.291594864342862,-14.869781517926542],[28.322222838972547,-14.845824287278246],[28.34470208590092,-14.814549216049045],[28.357245252735076,-14.778448353582288],[28.35885841582154,-14.740396962007894],[28.349418776066134,-14.7034241394889],[28.32968268167956,-14.670471646068934],[28.301223887180534,-14.64416014305822],[28.26630743570595,-14.626581323939496],[28.227709457758507,-14.619132253672925],[28.21997840436393,-14.618924930083118]]]}"
00000000000000000033,1007,"[[12.0, 621.7294117647059], [13.0, 1253.5098039215686], [14.0, 2817.835294117647], [15.0, 906.6705882352942], [16.0, 2138.1803921568626], [17.0, 3462.5372549019608], [18.0, 1284.0]]",-15.19718155860901,28.31946315765381,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.3194609488663,-15.062199706705119],[28.280416060912277,-15.067568671441965],[28.244473602827618,-15.083248971639964],[28.214490767128666,-15.107994542946322],[28.19285326631931,-15.139838392523371],[28.18128572555183,-15.176248317927094],[28.180713705844962,-15.21432767022828],[28.191188548098726,-15.251045429533256],[28.21188147455062,-15.283477437139355],[28.241147982089583,-15.309039598483244],[28.27665790137635,-15.32569435991085],[28.315581042548178,-15.332113779040547],[28.354813605054726,-15.327785929583126],[28.391226975625923,-15.313055947552023],[28.421918559418852,-15.289098356643319],[28.444444108708378,-15.257822940239942],[28.457012651826386,-15.221721855454781],[28.458628396265684,-15.183670433749766],[28.44916852591146,-15.146697782593117],[28.429391166304676,-15.113745608485607],[28.4008734502228,-15.087434473116259],[28.36588510212537,-15.069855955353477],[28.327207867179997,-15.062407026251398],[28.3194609488663,-15.062199706705119]]]}"
00000000000000000034,1009,"[[12.0, 393.9647058823529], [13.0, 793.6705882352941], [14.0, 2158.807843137255], [15.0, 645.0], [16.0, 1620.8745098039217], [17.0, 1558.407843137255], [18.0, 794.0]]",-15.24654803276062,28.14792251586914,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.147923790441293,-15.111566414467816],[28.108869829132672,-15.116935367739291],[28.07291899967423,-15.132615637112846],[28.042929146982765,-15.15736116784007],[28.021286538800002,-15.189204979732457],[28.009716215204772,-15.225614882100956],[28.009143976214556,-15.263694233210733],[28.019621201340655,-15.300412013551052],[28.040318941370163,-15.33284405786183],[28.069592319620213,-15.358406260121757],[28.105110617774987,-15.375061053894767],[28.144042965917897,-15.381480486690027],[28.183284810592195,-15.377152627946302],[28.21970677897528,-15.362422616580107],[28.250405576969108,-15.338464985456465],[28.272936378201717,-15.30718953052264],[28.285507800386178,-15.271088420921517],[28.287123838762774,-15.233036995854013],[28.27766167492283,-15.196064363826594],[28.25787963566602,-15.1631122253629],[28.229355236744336,-15.13680113103161],[28.19435873358121,-15.119222646907485],[28.155672508359366,-15.111773733562739],[28.147923790441293,-15.111566414467816]]]}"
00000000000000000035,1011,"[[12.0, 189.49803921568628], [13.0, 525.4352941176471], [14.0, 2123.9411764705883], [15.0, 1268.1529411764704], [16.0, 821.1882352941177], [17.0, 2926.486274509803], [18.0, 723.0274509803921]]",-15.16835446357727,27.67954664230347,20,2012,"{""type"":""Polygon"",""coordinates"":[[[27.679548733989446,-15.033371618394591],[27.64050912914325,-15.038740589824268],[27.60457154545069,-15.054420908015823],[27.57459279557191,-15.079166503009946],[27.55295826871347,-15.111010374585092],[27.541392348412003,-15.14742031343537],[27.540820456495126,-15.185499666431953],[27.551293911347255,-15.222217413457662],[27.57198403500911,-15.254649399637701],[27.60124654187721,-15.280211537097243],[27.636751582272282,-15.296866279643545],[27.675669362332105,-15.3032856907961],[27.71489651993804,-15.298957846759464],[27.751304884122604,-15.284227881852429],[27.781992267226666,-15.260270314418806],[27.80451475846503,-15.228994920507255],[27.81708162525214,-15.192893850208263],[27.818697198644294,-15.15484243046615],[27.809238663829273,-15.117869768143041],[27.789464029130233,-15.084917573228768],[27.760950204310685,-15.058606413903775],[27.72596660466329,-15.041027876504653],[27.687294604455143,-15.03357893820434],[27.679548733989446,-15.033371618394591]]]}"
00000000000000000036,1013,"[[12.0, 131.0], [13.0, 1868.4627450980392], [14.0, 5013.73725490196], [15.0, 362.1725490196078], [16.0, 1349.5450980392156], [17.0, 654.6039215686275], [18.0, 315.71764705882356]]",-14.73695592880249,27.87379350662231,20,2012,"{""type"":""Polygon"",""coordinates"":[[[27.873791634978602,-14.601971427877915],[27.834829742627615,-14.60734049924922],[27.798963861497384,-14.623021086131024],[27.76904521799742,-14.647767034842209],[27.74745444565464,-14.679611234899712],[27.73591237234622,-14.716021374533451],[27.73534236978243,-14.754100737906713],[27.745795422181857,-14.790818301568791],[27.766444317307215,-14.82324996780656],[27.79564796806359,-14.848811748619958],[27.831081227687857,-14.865466209228673],[27.86992012982203,-14.871885501266256],[27.909067765023092,-14.867557738173005],[27.945402472035987,-14.852828028964012],[27.976028055469733,-14.82887081206469],[27.998505561987173,-14.79759575400885],[28.011047775206073,-14.761494900026921],[28.012660841631412,-14.723443509602724],[28.003221962692148,-14.686470680544025],[27.98348741968402,-14.653518174937757],[27.95503084007598,-14.627206657896132],[27.920117091035554,-14.609627827276167],[27.881522092073023,-14.602178751622041],[27.873791634978602,-14.601971427877915]]]}"
00000000000000000037,1015,"[[12.0, 205.17254901960786], [13.0, 2508.0549019607843], [14.0, 6971.960784313725], [15.0, 2093.0], [16.0, 3400.478431372549], [17.0, 7945.329411764706], [18.0, 4567.572549019607]]",-14.62063598632813,27.62751760482788,20,2012,"{""type"":""Polygon"",""coordinates"":[[[27.62751548379678,-14.485651317797723],[27.588574114947058,-14.491020416049107],[27.552727170815754,-14.506701075196961],[27.52282440293112,-14.531447119041971],[27.50124518883517,-14.563291407445108],[27.48970941685423,-14.599701601078229],[27.489139916400045,-14.637780967240017],[27.499587582469285,-14.674498481584422],[27.52022558914848,-14.706930061772866],[27.549413693745027,-14.732491746666723],[27.58482799178803,-14.749146131449306],[27.62364605674868,-14.755565391451471],[27.662772684452886,-14.751237650127559],[27.699087934009437,-14.736508009687586],[27.729697193455774,-14.712550887063836],[27.752162819082123,-14.681275919336962],[27.764698522919595,-14.645175123535365],[27.766310930230926,-14.607123740998551],[27.756877245780302,-14.570150867097908],[27.737153293849367,-14.53719827793105],[27.708711834466083,-14.510886664680106],[27.67381653352936,-14.49330775519652],[27.63524187031654,-14.485858642600041],[27.62751548379678,-14.485651317797723]]]}"
00000000000000000038,1017,"[[12.0, 200.0], [13.0, 1793.2627450980392], [14.0, 8854.529411764706], [15.0, 4690.168627450981], [16.0, 11851.984313725492], [17.0, 23899.690196078434], [18.0, 9346.64705882353]]",-14.93754425048828,27.52630949020386,20,2012,"{""type"":""Polygon"",""coordinates"":[[[27.526307267186723,-14.80255962966613],[27.487309554352,-14.807928654617085],[27.451410622429304,-14.823609116699293],[27.42146427242611,-14.848354901118695],[27.399853329956738,-14.880198948606111],[27.388300262205966,-14.916608994983132],[27.38772938649041,-14.954688353538407],[27.398191841762497,-14.991406002368691],[27.418859740737588,-15.023837817210334],[27.448090522237326,-15.049399763674478],[27.48355687155608,-15.066054355233733],[27.52243213563913,-15.07247370259612],[27.56161642993947,-15.068145901907462],[27.59798509178464,-15.05341607393537],[27.628639163078944,-15.029458694224196],[27.65113740513668,-14.998183480173385],[27.66369098097578,-14.96208252571754],[27.665305200799423,-14.924031121674378],[27.655857259243323,-14.887058370058025],[27.636104234316424,-14.854106008758531],[27.607621266852906,-14.827794657866228],[27.572675320509443,-14.810215963439616],[27.534044828841157,-14.802766951582838],[27.526307267186723,-14.80255962966613]]]}"
00000000000000000039,1018,"[[12.0, 1294.2196078431373], [13.0, 7597.713725490195], [14.0, 17712.984313725487], [15.0, 5981.572549019606], [16.0, 8179.690196078432], [17.0, 21692.403921568624], [18.0, 17885.705882352944]]",-14.59847149848938,27.50077066421509,20,2012,"{""type"":""Polygon"",""coordinates"":[[[27.500769995453638,-14.463489585562096],[27.46183251616809,-14.468858688931563],[27.425989160964964,-14.484539361839177],[27.396089401877326,-14.509285423798035],[27.374512378414373,-14.541129729022462],[27.36297780081552,-14.57753993293716],[27.36240839567451,-14.615619299629783],[27.3728550410311,-14.652336804583854],[27.39349098414928,-14.684768368388212],[27.42267614235031,-14.710330035018716],[27.45808684661301,-14.726984405363824],[27.496900962273283,-14.733403659266374],[27.536023608391975,-14.729075922087397],[27.572335170175116,-14.714346294741201],[27.6029413357919,-14.690389190067773],[27.625404709749102,-14.659114239539837],[27.637939180018666,-14.623013454816036],[27.63955146256221,-14.584962073781123],[27.630118762729023,-14.547989191342507],[27.610396818143553,-14.515036586265465],[27.5819582244088,-14.488724954695908],[27.547066419755748,-14.47114603019636],[27.508495610529124,-14.463696910565892],[27.500769995453638,-14.463489585562096]]]}"
0000000000000000003a,1020,"[[12.0, 759.0], [13.0, 4335.098039215686], [14.0, 2340.5882352941176], [15.0, 2260.5607843137254], [16.0, 2973.556862745098], [17.0, 4118.756862745098], [18.0, 1872.0]]",-14.54317879676819,28.48529462814331,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.485294917043948,-14.408196732499368],[28.44636711332966,-14.413565848633851],[28.41053268589192,-14.429246555859669],[28.38064041152841,-14.453992662996198],[28.35906883762232,-14.485837010174459],[28.3475372313733,-14.522247239732266],[28.34696806354757,-14.560326607748678],[28.357412169936413,-14.597044089282274],[28.37804297978501,-14.629475612223178],[28.40722080843937,-14.65503723330327],[28.44262257259541,-14.67169156764008],[28.48142686367967,-14.678110806329679],[28.520539604902467,-14.673783079488503],[28.55684199274174,-14.65905348479931],[28.587440462028148,-14.635096424895574],[28.609898234751853,-14.603821517263368],[28.622429636536573,-14.567720760168724],[28.624041608915952,-14.52966938287982],[28.61461135862896,-14.492696479146861],[28.59489440767082,-14.459743834388375],[28.56646294258399,-14.433432157130452],[28.531579835250025,-14.415853195179615],[28.493018613097806,-14.408404058005685],[28.485294917043948,-14.408196732499368]]]}"
0000000000000000003b,1022,"[[12.0, 674.0117647058823], [13.0, 4243.937254901961], [14.0, 3699.878431372549], [15.0, 1778.9058823529413], [16.0, 2043.2], [17.0, 3261.098039215686], [18.0, 2479.0]]",-14.42520470619202,28.47658548355103,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.476586292686573,-14.290222295928354],[28.437678995906044,-14.295591439277521],[28.40186349069044,-14.311272219668766],[28.37198708045698,-14.33601842312256],[28.350427057593865,-14.367862859744587],[28.338901750126777,-14.4042731439719],[28.338333086318684,-14.442352514809857],[28.348771812096167,-14.479069946411418],[28.369391742151826,-14.511501382233016],[28.39855403532493,-14.537062906201843],[28.43393684980293,-14.553717163770905],[28.472720316197353,-14.560136370027362],[28.511812062456503,-14.555808665225788],[28.54809500490242,-14.541079140159543],[28.57867716117808,-14.517122175702543],[28.601123062130295,-14.485847359522273],[28.613647960899858,-14.449746661332323],[28.61525927688072,-14.411695292030501],[28.60583421944164,-14.374722342899473],[28.58612785325913,-14.341769613541965],[28.557711497691066,-14.31545783887805],[28.52284682422411,-14.297878797082168],[28.484305921469073,-14.290429622506025],[28.476586292686573,-14.290222295928354]]]}"
0000000000000000003c,1024,"[[12.0, 16347.69411764706], [13.0, 7842.239215686274], [14.0, 22757.709803921567], [15.0, 14185.607843137255], [16.0, 20033.52549019608], [17.0, 21491.698039215684], [18.0, 18769.662745098038]]",-13.89048943519592,28.36375398635864,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.363753199630175,-13.755504734003338],[28.324936520297726,-13.76087400034888],[28.289204633837514,-13.776555111408738],[28.259398335387584,-13.801301750160931],[28.237889371493562,-13.83314659101063],[28.22639191714695,-13.869557122300364],[28.225825498397104,-13.907636505877432],[28.236240458548615,-13.944353711808564],[28.25681231117416,-13.97678475390458],[28.285905940642248,-14.002345838997792],[28.321204992689545,-14.01899974963332],[28.359896404010172,-14.025418809316657],[28.39889534209821,-14.02109120411727],[28.435092329754447,-14.006361993694885],[28.465602383976535,-13.982405460589954],[28.487995821489587,-13.951131057714393],[28.500491992876363,-13.91503062574431],[28.50210042518523,-13.87697929255138],[28.49269833397692,-13.840006138260064],[28.473038757893782,-13.80705302657168],[28.44468918089063,-13.780740811690059],[28.409905969325095,-13.7631614090378],[28.37145485580848,-13.755712065422994],[28.363753199630175,-13.755504734003338]]]}"
0000000000000000003d,1025,"[[12.0, 2550.650980392157], [13.0, 6740.466666666667], [14.0, 15204.701960784312], [15.0, 9564.89411764706], [16.0, 10911.8], [17.0, 18113.19607843137], [18.0, 15206.827450980392]]",-14.0778115272522,28.16623106002807,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.166232859366733,-13.942827110157543],[28.127384867938268,-13.948196333480096],[28.09162408696743,-13.963877328875435],[28.061793560014845,-13.988623815365433],[28.04026694998066,-14.020468514822317],[28.028759867466388,-14.056878959694824],[28.028192669535805,-14.094958338818255],[28.03861583967279,-14.131675623687425],[28.05920430525094,-14.164106803503332],[28.088321663649747,-14.18966804210792],[28.123649664130696,-14.206322074094361],[28.16237289071813,-14.212741185046122],[28.201403904429466,-14.208413545007836],[28.237630598426122,-14.193684224528944],[28.26816557015887,-14.169727540544443],[28.290577136667896,-14.138452993100794],[28.303083232916496,-14.102352468009302],[28.304692658426216,-14.064301122183696],[28.295282627657063,-14.027328039652621],[28.27560688032607,-13.994375061697564],[28.247234226335298,-13.968063000798647],[28.212422865326907,-13.950483724370189],[28.17394072580142,-13.943034439883519],[28.166232859366733,-13.942827110157543]]]}"
0000000000000000003e,1026,"[[12.0, 1276.0], [13.0, 4278.666666666666], [14.0, 5254.38431372549], [15.0, 3544.4196078431373], [16.0, 2895.8745098039217], [17.0, 4905.098039215686], [18.0, 2454.4]]",-14.34189319610596,28.13975648880005,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.139754717311373,-14.20690845184577],[28.100861790267736,-14.2122776143968],[28.06505954452997,-14.227958446411312],[28.035194251194653,-14.252704717823388],[28.01364232323382,-14.284549217553677],[28.00212143042816,-14.320959540353401],[28.00155312065635,-14.359038913181536],[28.011988076609292,-14.39575630955239],[28.032600382863095,-14.428187683905643],[28.061751789230136,-14.453749139356509],[28.097121323917946,-14.47040334276137],[28.135890196306782,-14.476822526134361],[28.17496722921245,-14.472494836883007],[28.211236544418465,-14.457765360939849],[28.241807268930774,-14.433808463826338],[28.264244850852013,-14.40253371217129],[28.27676519320365,-14.36643305554277],[28.278376050039096,-14.328381691876944],[28.268954632309185,-14.291408710715146],[28.249255683985602,-14.258455921667741],[28.220849916602994,-14.232144078277427],[28.18599816046479,-14.214564980145378],[28.14747149605846,-14.20711577917936],[28.139754717311373,-14.20690845184577]]]}"
0000000000000000003f,1028,"[[12.0, 731.6705882352941], [13.0, 5588.764705882353], [14.0, 8201.239215686275], [15.0, 4840.46274509804], [16.0, 3139.9882352941177], [17.0, 9988.901960784313], [18.0, 5227.53725490196]]",-14.21804785728455,28.38860998153687,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.38860822890209,-14.083065838288421],[28.349736490463453,-14.088435029356138],[28.313953796512457,-14.104115938036244],[28.2841048961356,-14.128862310372707],[28.262564905565917,-14.160706903824162],[28.25105052376397,-14.19711728390662],[28.250482737352804,-14.235196659689425],[28.260912135371502,-14.271914003738916],[28.28151320002439,-14.30434528680619],[28.310648552401187,-14.329906640502312],[28.345998503695558,-14.346560763469206],[28.38474585430704,-14.352979912858556],[28.423801189402997,-14.348652246700421],[28.46005040875299,-14.333922843708779],[28.490604275530593,-14.309966046605737],[28.51302959052334,-14.278691390776268],[28.52554321493709,-14.2425907958707],[28.527153395998226,-14.204539440575727],[28.517737346588323,-14.167566411846197],[28.498049337404836,-14.134613534154303],[28.469659183475102,-14.108301588698959],[28.434826474697836,-14.09072240690223],[28.396320805196996,-14.083273166744618],[28.38860822890209,-14.083065838288421]]]}"
00000000000000000040,1030,"[[12.0, 19837.87843137255], [13.0, 4928.537254901961], [14.0, 11894.019607843136], [15.0, 6492.305882352942], [16.0, 10527.996078431373], [17.0, 11519.741176470587], [18.0, 8683.909803921568]]",-13.82381610870361,28.65619068145752,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.656189964917264,-13.688832255052217],[28.61738431808221,-13.69420153669399],[28.581662612506904,-13.70988268887672],[28.551864851241696,-13.734629381763357],[28.530362105614937,-13.76647427288275],[28.518868044646695,-13.80288483489619],[28.51830190133611,-13.840964220056073],[28.528713969318083,-13.877681397921707],[28.549279968486164,-13.91011239105373],[28.578365236577543,-13.935673421568907],[28.613654087611422,-13.952327289060603],[28.652334287454845,-13.958746330516544],[28.691321922297377,-13.954418737703383],[28.727508441805604,-13.939689566409314],[28.758009715738254,-13.915733086946673],[28.78039676550078,-13.884458735469789],[28.79288944039771,-13.848358336607795],[28.79449752361458,-13.810307007906793],[28.78509823082568,-13.773333828102857],[28.765444353393992,-13.74038066886805],[28.737102907917155,-13.714068399240338],[28.702329614776254,-13.69648895171104],[28.6638894329819,-13.689039587074038],[28.656189964917264,-13.688832255052217]]]}"
00000000000000000041,1033,"[[12.0, 8949.054901960782], [13.0, 5387.756862745098], [14.0, 10477.46274509804], [15.0, 5006.317647058824], [16.0, 5329.992156862745], [17.0, 10405.599999999999], [18.0, 5227.905882352941]]",-13.93088884353638,28.91125240325928,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.911250545174365,-13.79590418954756],[28.872427152185193,-13.801273446620272],[28.83668907035532,-13.81695453275077],[28.80687757686682,-13.841701138685707],[28.785364829156006,-13.87354594906095],[28.77386531007711,-13.909956461725285],[28.773298723945942,-13.948035844342668],[28.783715444220856,-13.984753067287519],[28.804290858864245,-14.017184139066414],[28.83338957633116,-14.042745257245924],[28.868694835705575,-14.059399194036148],[28.907393069161486,-14.065818264769334],[28.946398885220127,-14.061490652061144],[28.982602242739908,-14.046761417918345],[29.013117639850517,-14.022804852294364],[29.035514964483518,-13.99153041825996],[29.04801326371744,-13.95542996621923],[29.049621908680813,-13.91737863030336],[29.040218114794467,-13.880405491478399],[29.020555071110994,-13.847452408613588],[28.992200545943533,-13.821140226920024],[28.95741129873915,-13.803560851472978],[28.91895353289736,-13.796111520602171],[28.911250545174365,-13.79590418954756]]]}"
00000000000000000042,1035,"[[12.0, 2785.949019607843], [13.0, 3557.854901960784], [14.0, 7422.850980392156], [15.0, 7136.396078431371], [16.0, 4957.360784313725], [17.0, 12770.517647058821], [18.0, 6850.219607843137]]",-14.32090263366699,29.04725065231323,20,2012,"{""type"":""Polygon"",""coordinates"":[[[29.04724866820341,-14.1859194631872],[29.00835934664296,-14.191288630573464],[28.972560427840296,-14.206969475587245],[28.942697923889543,-14.231715764111888],[28.92114802710895,-14.26356027973342],[28.909628242101597,-14.299970612245987],[28.90906002127328,-14.338049985575188],[28.91949403141368,-14.374767373074562],[28.940104424787293,-14.407198731949492],[28.969253099475335,-14.432760170146924],[29.004619301990253,-14.449414359912788],[29.04338451241336,-14.455833537523533],[29.082457853403653,-14.451505852187848],[29.1187237492471,-14.436776388614302],[29.14929160533011,-14.412819508458472],[29.17172709991621,-14.381544773051477],[29.18424629908002,-14.345444126888571],[29.185857040818757,-14.307392764642017],[29.176436536445916,-14.270419775414634],[29.156739449432852,-14.23746697133677],[29.12833633878481,-14.211155110640476],[29.093487823740826,-14.193575998322402],[29.054964731854415,-14.186126790711139],[29.04724866820341,-14.1859194631872]]]}"
00000000000000000043,1038,"[[12.0, 2309.3411764705884], [13.0, 7862.494117647059], [14.0, 4819.545098039215], [15.0, 5537.278431372549], [16.0, 5516.380392156863], [17.0, 9790.73725490196], [18.0, 4276.996078431372]]",-14.29289956092834,28.66694507598877,20,2012,"{""type"":""Polygon"",""coordinates"":[[[28.666945316658165,-14.15791630857156],[28.628060796307494,-14.163285482407513],[28.592266307804195,-14.178966344760944],[28.562407518353595,-14.20371265611193],[28.540860326441535,-14.23555719293066],[28.529342016702067,-14.271967538399066],[28.528773914385646,-14.310046912396592],[28.539206665085256,-14.346764288062326],[28.559814511184697,-14.37919562629085],[28.588959548199078,-14.404757041474086],[28.624321313350887,-14.421411213047026],[28.66308164721648,-14.42783038297157],[28.70215007176437,-14.423502702858961],[28.738411414131942,-14.408773255785102],[28.768975450428847,-14.384816398248965],[28.791408165419096,-14.353541684515125],[28.803925842301094,-14.317441052312244],[28.805536430839396,-14.279389691958896],[28.796117142808836,-14.24241669197294],[28.77642253446253,-14.209463867846077],[28.748022961677638,-14.183151984065452],[28.713178762628253,-14.165572852824726],[28.67466042805833,-14.158123636349401],[28.666945316658165,-14.15791630857156]]]}"
